Agulha Torta,Lixo,Lixo,Sem uso prático. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Anzol Partido,Lixo,Lixo,Metal curvado que já foi anzol. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bandagem Usada,Lixo,Lixo,Suja. Pode ser reutilizada com Medicina CD 18 para 1d6+4 de Saúde.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bexiga de Animal,Lixo,Lixo,"Órgão seco. Teoricamente carrega líquido, na prática vaza. Vendor trash.",,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bico de Ave,Lixo,Lixo,Bico seco de ave pequena. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bola de Lama Seca,Lixo,Lixo,Curiosidade geológica inútil. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bolsa Rasgada,Lixo,Lixo,Bolsa de couro furada. Não carrega nada. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Botão de Osso,Lixo,Lixo,Botão primitivo esculpido em osso. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Casca de Ovo,Lixo,Lixo,Casca de ovo de criatura desconhecida. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Cascalho Brilhante,Lixo,Lixo,"Parece valioso, mas é quartzo comum. Qualquer mercador percebe. Vendor trash.",,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Chifre Partido,Lixo,Lixo,Fragmento de chifre quebradiço. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Comida Estragada,Lixo,Lixo,Comestível com Fort CD 12; falha causa Enjoado por 1h.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Concha Rachada,Lixo,Lixo,Concha de molusco partida. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Corda Podre (1m),Lixo,Lixo,Pedaço de corda em decomposição. Inutilizável como corda. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Couro Cru (tira),Lixo,Lixo,"Tira de couro sem tratamento. Vendor trash, ou material bruto de pouco valor.",,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Dente Quebrado,Lixo,Lixo,Dente de criatura. Sem utilidade prática além de venda por sucata.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Escama Opaca,Lixo,Lixo,Escama desgastada de réptil. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Fivela Enferrujada,Lixo,Lixo,Metal corroído. Pequeno valor de sucata de ferro. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Frasco Rachado,Lixo,Lixo,Não segura líquido. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Fungo Desidratado,Lixo,Lixo,Fungo seco e sem efeito. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Garra Lascada,Lixo,Lixo,"Garra sem fio. Sem uso mecânico — vendor trash, ou enfeite.",,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Graveto Afiado,Lixo,Lixo,Graveto pontiagudo natural. Vendor trash. Improviso desesperado: 1d2 Perfurante.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Inseto Esmagado,Lixo,Lixo,Restos de inseto. Cheiro ácido. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Lenha Molhada,Lixo,Lixo,Precisa secar 4h antes de poder queimar.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Linha de Costura,Lixo,Lixo,Conserta roupas. Não aguenta peso. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Mandíbula de Inseto,Lixo,Lixo,Mandíbula quitinosa de inseto grande. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Moeda Falsa,Lixo,Lixo,Sin falsificado. Qualquer mercador percebe; tentar usar pode gerar problema. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Musgo Grudento,Lixo,Lixo,Massa vegetal sem efeito alquímico. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Ninho Vazio,Lixo,Lixo,Restos de ninho de pássaro. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Olho de Vidro Rachado,Lixo,Lixo,"Olho artificial barato, sem par. Vendor trash.",,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Osso Roído,Lixo,Lixo,Fragmento de osso parcialmente digerido. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Papel Úmido,Lixo,Lixo,Páginas ilegíveis. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pavio Curto,Lixo,Lixo,Acende por 5 min. Quase inútil.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pedaço de Carvão,Lixo,Lixo,Serve para escrever em superfícies ou iniciar fogo. ~10 usos.,,1d8+2,Drop CR≤2,Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Pedra Manchada de Sangue,Lixo,Lixo,Pedra com restos biológicos secos. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pedra de Amolar Gasta,Lixo,Lixo,Último uso restante: +1 Atacar por 1 combate. Depois quebra.,,1d8+2,Drop CR≤2,Não-craftável,,Uso Único,,,,,,,,,,,,,,,,,,,
Pelo Seboso,Lixo,Lixo,Tufo de pelo imundo. Cheiro terrível. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pena Suja,Lixo,Lixo,"Pena de ave comum, manchada. Vendor trash.",,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Prego Torto,Lixo,Lixo,Prego de ferro torto e enferrujado. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Ração Mofada,Lixo,Lixo,Comível com Fort CD 10; falha causa Enjoado por 1 dia.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Rolha de Cortiça,Lixo,Lixo,Tampa frascos. É isso. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Saco Furado,Lixo,Lixo,Saco de estopa com buracos. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Saco de Areia Suja,Lixo,Lixo,Areia grossa com impurezas. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Sebo Animal,Lixo,Lixo,Gordura animal endurecida. Pode virar vela ou sabão com tempo. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Trapo Sujo,Lixo,Lixo,Pedaço de tecido imundo. Pode servir como pano improvisado. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Vela Derretida,Lixo,Lixo,Sem uso prático. Pode servir como cera de selo. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Vértebra Pequena,Lixo,Lixo,Osso de animal pequeno. Vendor trash.,,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Água Suja (cantil),Lixo,Lixo,"Precisa ser purificada antes de beber, ou causa Enjoado (Fort CD 12).",,1d8+2,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Arma Arremesso,Arma,Ordinário,Arremesso. 1d8 Perfurante (Destreza). Atacar(1). Alcance 9 m. Requisito: Destreza ≥ 14. Consome 1 munição (Conjunto de Arremesso) por cena de combate. Efeito: Dilacerar (2 Stamina): seu próximo ataque aplica Sangramento 1 no acerto.,,2d10+10,"Loja, Drop",Ferraria,2x Madeira Comum,,,,,,,,,,,,,,,,,,,,
Arma Distância Pesada,Arma,Ordinário,Distância Pesada. 1d12 Perfurante (Destreza). Atacar(2). Alcance 18 m. Requisito: Treinamento À Distância. Consome 1 munição (Munição de Fogo) por cena de combate. Efeito: Executar (3 Stamina): seu próximo ataque tem +1 dado de dano.,,2d10+10,"Loja, Drop",Ferraria,2x Madeira Comum,,,,,,,,,,,,,,,,,,,,
Arma Distância Simples,Arma,Ordinário,Distância Simples. 1d6 Perfurante (Destreza). Atacar(1). Alcance 18 m. Requisito: Treinamento À Distância. Consome 1 munição (Virotes/Flechas) por cena de combate. Efeito: Dilacerar (2 Stamina): seu próximo ataque aplica Sangramento 1 no acerto.,,2d10+10,"Loja, Drop",Ferraria,2x Madeira Comum,,,,,,,,,,,,,,,,,,,,
Arma Leve Contundente,Arma,Ordinário,"Leve Contundente. 1d6 Contundente (Destreza). Atacar(1), Arremessar(1). Requisito: Destreza ≥ 12. Efeito: Desorientar (2 Stamina): seu próximo ataque aplica Desorientado no acerto.",,2d10+10,"Loja, Drop",Ferraria,2x Barra de Ferro,,,,,,,,,,,,,,,,,,,,
