Nome,Categoria,Raridade,Efeito,Efeito_Jogador,Valor (Sins),Obtenção,Tipo de Craft,Ingredientes,Tags,Lore/Notas,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18
Anel do Último Suspiro,Item Mágico,Exótico,"1x por descanso longo: ao cair a 0 de Saúde, fica com 1 de Saúde em vez de Morrendo.",,6d10+40,Drop CR≥3,Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Dente Quebrado,Lixo,Lixo,Dente de criatura. Sem utilidade prática além de venda por sucata.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Espada do Caçador,Arma,Exótico,Leve Cortante +1. +2d6 contra Bestas. +1 de dano para cada ataque sucessivo na mesma rodada contra o mesmo alvo.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Poção de Cura Menor,Consumível,Incomum,Recupera 2d4+Int de Saúde. Consumível.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Tocha (x2),Bugiganga,Ordinário,2 tochas. Cada uma fornece luz por 4 horas em raio de 6m. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Madeira Comum,Luz,,,,,,,,,,,,,,,,,,,
Comida (1 porção),Consumível,Ordinário,Alimenta 1 pessoa por 1 dia. Necessária para descanso longo. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Não-craftável,,"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Napalm Alquímico,Consumível,Exótico,"Arremesso 9m. 3d6 Fogo em área 3m, Reflexo para metade. Queima 2d6/turno por 3 rodadas. Água não apaga.",,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Fogo Alquímico,Consumível,Incomum,"Arremesso 9m. 2d6 Fogo em área de 1,5m. Reflexo para metade. Queima +1d6 na próxima rodada.",,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Elixir de Força,Consumível,Incomum,"+2 em testes de Força, +2 dano corpo a corpo. Duração 10 min.",,5d6+15,"Alquimista, Loja",Alquimia,2x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Poção de Cura Moderada,Consumível,Exótico,Recupera 3d6+Int de Saúde. Consumível.,,6d10+40,"Alquimista, Drop CR≥3, Loja",Alquimia,3x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Botas do Vento,Item Mágico,Exótico,+3m Movimento. Não ativa Terreno Difícil.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Reagente Alquímico (x1),Material,Ordinário,1 Reagente para uso em criações de Alquimistas. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Luvas da Chama,Item Mágico,Exótico,Ataques desarmados +1d4 Fogo. Passiva.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Dano,,,,,,,,,,,,,,,,,,,
Poção de Cura Maior,Consumível,Luxária,Recupera 6d10+Int de Saúde. Consumível.,,6d12+80,"Alquimista, Drop CR≥3, Loja",Alquimia,5x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Coração da Árvore,Material,Luxária,Reagente lendário. Necessário para criar o Elixir da Imortalidade (Alquimista Nível 5). Item único.,"Reagente alquímico lendário, pulsa com uma vitalidade estranha. Usado nas formulações mais poderosas do Alquimista.",6d12+80,Único/Quest,Não-craftável,,,Fragmento do núcleo vital da Vhelor. Conexão direta com o Sonhador. Extraído do interior da árvore — obtê-lo implica adentrar a Vhelor.,,,,,,,,,,,,,,,,,,
Graveto Afiado,Lixo,Lixo,Graveto pontiagudo natural. Vendor trash. Improviso desesperado: 1d2 Perfurante.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Concha Rachada,Lixo,Lixo,Concha de molusco partida. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Escama Opaca,Lixo,Lixo,Escama desgastada de réptil. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Saco de Areia Suja,Lixo,Lixo,Areia grossa com impurezas. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Prego Torto,Lixo,Lixo,Prego de ferro torto e enferrujado. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Anzol Partido,Lixo,Lixo,Metal curvado que já foi anzol. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bico de Ave,Lixo,Lixo,Bico seco de ave pequena. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Fungo Desidratado,Lixo,Lixo,Fungo seco e sem efeito. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Corda Podre (1m),Lixo,Lixo,Pedaço de corda em decomposição. Inutilizável como corda. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Osso Roído,Lixo,Lixo,Fragmento de osso parcialmente digerido. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Mandíbula de Inseto,Lixo,Lixo,Mandíbula quitinosa de inseto grande. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Ninho Vazio,Lixo,Lixo,Restos de ninho de pássaro. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bexiga de Animal,Lixo,Lixo,"Órgão seco. Teoricamente carrega líquido, na prática vaza. Vendor trash.",,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Chifre Partido,Lixo,Lixo,Fragmento de chifre quebradiço. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Fivela Enferrujada,Lixo,Lixo,Metal corroído. Pequeno valor de sucata de ferro. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bolsa Rasgada,Lixo,Lixo,Bolsa de couro furada. Não carrega nada. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pedra Manchada de Sangue,Lixo,Lixo,Pedra com restos biológicos secos. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
